"CPI_season","CPI_food_season","CPI_health_season","CPI_trans_season","Commodity_imputed_season","Consumption_imputed_season","Import_season","Export_season","M0_season","M1_season"
0.582840743185755,1.01769688475789,0.494525887249951,1.00240629193152,NA,1.10963457198872,0.892691433655755,0.828749289055037,0.994756574558891,1.03868514269714
0.666211252965985,1.01852558146167,0.920255703753483,1.00370027581873,NA,1.02193806225218,0.911650780059133,0.936784052030564,1.00979607065459,0.985663804543893
0.690979837001417,1.02299542143244,0.247678435791944,1.00185018377688,NA,0.952217491997566,1.01751195897298,1.05659581356834,1.0023109977497,0.98869199911893
0.64054236812288,1.0167152331852,0.375885386315942,1.00333855586778,NA,0.926353347076407,1.07132419066173,1.02656896465419,1.03232392254371,0.98852657710539
0.0410892065035751,1.00505839499521,0.207226127269563,1.00235135664467,NA,0.952545210628853,0.93600199487729,0.947544742331251,0.982027237241974,0.982332547328281
-0.476802267203423,0.986039688713174,0.0165961710553417,0.999718566956545,NA,0.941984416235037,1.0107463340314,0.984954338360557,0.969025723578666,1.00421328429358
-0.853130763199665,0.977995182092724,-0.221621582293884,1.00043148679767,NA,0.916887190255123,1.03840937888551,1.02654203225148,0.975533409293505,0.9879294601344
-0.792156323207129,0.985952042189507,-0.242694723934932,0.997685629186389,NA,0.922761400406711,1.04724773180866,1.04456314746762,0.987131414046468,0.995449301414402
-0.155714788940198,0.991229694979599,-0.321230460237451,0.995710894626638,NA,0.993276148660559,1.07366710528005,1.07416909366407,1.01682642129347,1.01073176690714
-0.215939990820857,0.988751875666303,-0.364922425070364,0.997200618423947,NA,1.04969305343499,0.919451632080654,1.02024449106209,0.988989170519162,0.994239657041811
-0.0689191473712998,0.99081064054049,-0.364679369469945,0.997932913405812,NA,1.0649270790986,1.02277862657183,1.02714457560347,1.00062555568742,0.993553089757604
-0.0548428865055451,0.998152215173606,-0.730687230096012,0.997575721670359,NA,1.1479834993531,1.05135179838549,1.02671357975239,1.0404305847146,1.03008439950217
0.573446061847607,1.01739017945019,0.474013976722305,1.00251195201311,NA,1.11020505101611,0.900032347235689,0.82906027285153,0.994748132670045,1.03839171414148
0.66177707758212,1.01876299268063,0.89622045989682,1.00381316997586,NA,1.02082757350358,0.91442705407819,0.938275500211899,1.01023914018169,0.985487166679437
0.689116579049344,1.02290933094211,0.226466651642078,1.00190237848978,NA,0.951682700519351,1.01863792659472,1.05156436622381,1.00260798902794,0.989562638154257
0.635095688379128,1.01711360930177,0.378754299146379,1.00333870708411,NA,0.924871358942554,1.0714497653002,1.02734621853912,1.03204519281736,0.987784736531421
